"episode","1000 wo map - _step","1000 wo map - self_coins1"
"935","934","1.3"
"936","935","1.35"
"937","936","1.24"
"938","937","1.21"
"939","938","1.36"
"940","939","1.44"
"941","940","1.31"
"942","941","1.38"
"943","942","1.26"
"944","943","1.4"
"945","944","1.22"
"946","945","1.39"
"947","946","1.35"
"948","947","1.52"
"949","948","1.28"
"950","949","1.17"
"951","950","1.45"
"952","951","1.31"
"953","952","1.3"
"954","953","1.37"
"955","954","1.25"
"956","955","1.31"
"957","956","1.38"
"958","957","1.34"
"959","958","1.25"
"960","959","1.22"
"961","960","1.22"
"962","961","1.18"
"963","962","1.18"
"964","963","1.51"
"965","964","1.12"
"966","965","1.19"
"967","966","1.27"
"968","967","1.28"
"969","968","1.24"
"970","969","1.28"
"971","970","1.21"
"972","971","1.45"
"973","972","1.31"
"974","973","1.05"
"975","974","1.21"
"976","975","1.28"
"977","976","1.32"
"978","977","1.16"
"979","978","1.28"
"980","979","1.32"
"981","980","1.32"
"982","981","1.47"
"983","982","1.2"
"984","983","1.33"
"985","984","1.25"
"986","985","1.19"
"987","986","1.34"
"988","987","1.2"
"989","988","1.3"
"990","989","1.22"
"991","990","1.24"
"992","991","1.29"
"993","992","1.29"
"994","993","1.5"
"995","994","1.18"
"996","995","1.35"
"997","996","1.45"
"998","997","1.48"
"999","998","1.27"
"1000","999","1.25"
"1001","1000","1.32"
"1002","1001","1.29"
"1003","1002","1.35"
"1004","1003","1.29"
"1005","1004","1.24"
"1006","1005","1.28"
"1007","1006","1.2"
"1008","1007","1.56"
"1009","1008","1.36"
"1010","1009","1.46"
"1011","1010","1.34"
"1012","1011","1.18"
"1013","1012","1.36"
"1014","1013","1.18"
"1015","1014","1.48"
"1016","1015","1.35"
"1017","1016","1.09"
"1018","1017","1.21"
"1019","1018","1.39"
"1020","1019","1.15"
"1021","1020","1.26"
"1022","1021","1.33"
"1023","1022","1.43"
"1024","1023","1.34"
"1025","1024","1.23"
"1026","1025","1.52"
"1027","1026","1.39"
"1028","1027","1.52"
"1029","1028","1.45"
"1030","1029","1.43"
"1031","1030","1.3"
"1032","1031","1.33"
"1033","1032","1.36"
"1034","1033","1.33"
"1035","1034","1.25"
"1036","1035","1.31"
"1037","1036","1.38"
"1038","1037","1.24"
"1039","1038","1.31"
"1040","1039","1.18"
"1041","1040","1.24"
"1042","1041","1.3"
"1043","1042","1.52"
"1044","1043","1.18"
"1045","1044","1.38"
"1046","1045","1.44"
"1047","1046","1.35"
"1048","1047","1.32"
"1049","1048","1.28"
"1050","1049","1.34"
"1051","1050","1.27"
"1052","1051","1.43"
"1053","1052","1.34"
"1054","1053","1.42"
"1055","1054","1.21"
"1056","1055","1.21"
"1057","1056","1.36"
"1058","1057","1.17"
"1059","1058","1.12"
"1060","1059","1.37"
"1061","1060","1.3"
"1062","1061","1.36"
"1063","1062","1.39"
"1064","1063","1.44"
"1065","1064","1.08"
"1066","1065","1.49"
"1067","1066","1.33"
"1068","1067","1.53"
"1069","1068","1.3"
"1070","1069","1.46"
"1071","1070","1.32"
"1072","1071","1.13"
"1073","1072","1.23"
"1074","1073","1.28"
"1075","1074","1.32"
"1076","1075","1.37"
"1077","1076","1.27"
"1078","1077","1.13"
"1079","1078","1.35"
"1080","1079","1.3"
"1081","1080","1.33"
"1082","1081","1.31"
"1083","1082","1.46"
"1084","1083","1.47"
"1085","1084","1.37"
"1086","1085","1.48"
"1087","1086","1.38"
"1088","1087","1.37"
"1089","1088","1.36"
"1090","1089","1.25"
"1091","1090","1.5"
"1092","1091","1.45"
"1093","1092","1.4"
"1094","1093","1.25"
"1095","1094","1.25"
"1096","1095","1.53"
"1097","1096","1.36"
"1098","1097","1.42"
"1099","1098","1.41"
"1100","1099","1.2"
"1101","1100","1.33"
"1102","1101","1.39"
"1103","1102","1.2"
"1104","1103","1.33"
"1105","1104","1.32"
"1106","1105","1.3"
"1107","1106","1.43"
"1108","1107","1.26"
"1109","1108","1.13"
"1110","1109","1.32"
"1111","1110","1.41"
"1112","1111","1.23"
"1113","1112","1.33"
"1114","1113","1.38"
"1115","1114","1.33"
"1116","1115","1.27"
"1117","1116","1.16"
"1118","1117","1.13"
"1119","1118","1.18"
"1120","1119","1.29"
"1121","1120","1.5"
"1122","1121","1.16"
"1123","1122","1.54"
"1124","1123","1.32"
"1125","1124","1.32"
"1126","1125","1.39"
"1127","1126","1.26"
"1128","1127","1.4"
"1129","1128","1.2"
"1130","1129","1.36"
"1131","1130","1.29"
"1132","1131","1.25"
"1133","1132","1.36"
"1134","1133","1.4"
"1135","1134","1.18"
"1136","1135","1.43"
"1137","1136","1.34"
"1138","1137","1.29"
"1139","1138","1.25"
"1140","1139","1.52"
"1141","1140","1.27"
"1142","1141","1.28"
"1143","1142","1.28"
"1144","1143","1.29"
"1145","1144","1.38"
"1146","1145","1.23"
"1147","1146","1.24"
"1148","1147","1.41"
"1149","1148","1.52"
"1150","1149","1.36"
"1151","1150","1.04"
"1152","1151","1.37"
"1153","1152","1.27"
"1154","1153","1.23"
"1155","1154","1.28"
"1156","1155","1.11"
"1157","1156","1.42"
"1158","1157","1.28"
"1159","1158","1.22"
"1160","1159","1.14"
"1161","1160","1.41"
"1162","1161","1.39"
"1163","1162","1.36"
"1164","1163","1.38"
"1165","1164","1.41"
"1166","1165","1.11"
"1167","1166","1.36"
"1168","1167","1.15"
"1169","1168","1.35"
"1170","1169","1.27"
"1171","1170","1.41"
"1172","1171","1.23"
"1173","1172","1.28"
"1174","1173","1.37"
"1175","1174","1.29"
"1176","1175","1.21"
"1177","1176","1.26"
"1178","1177","1.48"
"1179","1178","1.22"
"1180","1179","1.35"
"1181","1180","1.32"
"1182","1181","1.1"
"1183","1182","1.4"
"1184","1183","1.26"
"1185","1184","1.43"
"1186","1185","1.21"
"1187","1186","1.25"
"1188","1187","1.2"
"1189","1188","1.22"
"1190","1189","1.29"
"1191","1190","1.28"
"1192","1191","1.32"
"1193","1192","1.29"
"1194","1193","1.31"
"1195","1194","1.5"
"1196","1195","1.35"
"1197","1196","1.29"
"1198","1197","1.34"
"1199","1198","1.25"
"1200","1199","1.3"
"1201","1200","1.32"
"1202","1201","1.33"
"1203","1202","1.32"
"1204","1203","1.18"
"1205","1204","1.19"
"1206","1205","1.36"
"1207","1206","1.32"
"1208","1207","1.3"
"1209","1208","1.28"
"1210","1209","1.47"
"1211","1210","1.28"
"1212","1211","1.32"
"1213","1212","1.05"
"1214","1213","1.2"
"1215","1214","1.32"
"1216","1215","1.3"
"1217","1216","1.26"
"1218","1217","1.31"
"1219","1218","1.24"
"1220","1219","1.31"
"1221","1220","1.17"
"1222","1221","1.36"
