"episode","1000 wo map - _step","1000 wo map - other_coins1"
"1244","1243","1.19"
"1245","1244","1.37"
"1246","1245","1.38"
"1247","1246","1.34"
"1248","1247","1.19"
"1249","1248","1.43"
"1250","1249","1.33"
"1251","1250","1.58"
"1252","1251","1.14"
"1253","1252","1.05"
"1254","1253","1.07"
"1255","1254","1.2"
"1256","1255","1.07"
"1257","1256","1.24"
"1258","1257","1.08"
"1259","1258","1.19"
"1260","1259","1.37"
"1261","1260","1.43"
"1262","1261","1.39"
"1263","1262","1.36"
"1264","1263","1.39"
"1265","1264","1.35"
"1266","1265","1.2"
"1267","1266","1.44"
"1268","1267","1.17"
"1269","1268","1.18"
"1270","1269","1.17"
"1271","1270","1.36"
"1272","1271","1.34"
"1273","1272","1.44"
"1274","1273","1.43"
"1275","1274","1.35"
"1276","1275","1.16"
"1277","1276","1.2"
"1278","1277","1.2"
"1279","1278","1.33"
"1280","1279","1.13"
"1281","1280","1.31"
"1282","1281","1.11"
"1283","1282","1.36"
"1284","1283","1.2"
"1285","1284","1.37"
"1286","1285","1.24"
"1287","1286","1.43"
"1288","1287","1.26"
"1289","1288","1.48"
"1290","1289","1.15"
"1291","1290","1.27"
"1292","1291","1.19"
"1293","1292","1.15"
"1294","1293","1.47"
"1295","1294","1.31"
"1296","1295","1.42"
"1297","1296","1.46"
"1298","1297","1.39"
"1299","1298","1.24"
"1300","1299","1.42"
"1301","1300","1.13"
"1302","1301","1.29"
"1303","1302","1.46"
"1304","1303","1.47"
"1305","1304","1.2"
"1306","1305","1.22"
"1307","1306","1.25"
"1308","1307","1.35"
"1309","1308","1.27"
"1310","1309","1.14"
"1311","1310","1.46"
"1312","1311","1.36"
