"episode","1000 wo map - _step","1000 wo map - neither_coins1"
"1101","1100","1.31"
"1102","1101","1.14"
"1103","1102","1.51"
"1104","1103","1.32"
"1105","1104","1.31"
"1106","1105","1.33"
"1107","1106","1.33"
"1108","1107","1.32"
"1109","1108","1.11"
"1110","1109","1.23"
"1111","1110","1.31"
"1112","1111","1.38"
"1113","1112","1.26"
"1114","1113","1.29"
"1115","1114","1.41"
"1116","1115","1.29"
"1117","1116","1.4"
"1118","1117","1.18"
"1119","1118","1.2"
"1120","1119","1.48"
"1121","1120","1.44"
"1122","1121","1.29"
"1123","1122","1.28"
"1124","1123","1.44"
"1125","1124","1.37"
"1126","1125","1.42"
"1127","1126","1.28"
"1128","1127","1.4"
"1129","1128","1.26"
"1130","1129","1.23"
"1131","1130","1.45"
"1132","1131","1.33"
"1133","1132","1.19"
"1134","1133","1.41"
"1135","1134","1.2"
"1136","1135","1.26"
"1137","1136","1.2"
"1138","1137","1.19"
"1139","1138","1.4"
"1140","1139","1.41"
"1141","1140","1.29"
"1142","1141","1.34"
"1143","1142","1.24"
"1144","1143","1.34"
"1145","1144","1.34"
"1146","1145","1.27"
"1147","1146","1.55"
"1148","1147","1.21"
"1149","1148","1.3"
"1150","1149","1.15"
"1151","1150","1.29"
"1152","1151","1.36"
"1153","1152","1.49"
"1154","1153","1.38"
"1155","1154","1.34"
"1156","1155","1.32"
"1157","1156","1.39"
"1158","1157","1.27"
"1159","1158","1.36"
"1160","1159","1.22"
"1161","1160","1.41"
"1162","1161","1.32"
"1163","1162","1.33"
"1164","1163","1.23"
"1165","1164","1.32"
"1166","1165","1.23"
"1167","1166","1.21"
"1168","1167","1.36"
"1169","1168","1.36"
"1170","1169","1.28"
"1171","1170","1.26"
"1172","1171","1.32"
"1173","1172","1.19"
"1174","1173","1.37"
"1175","1174","1.31"
"1176","1175","1.26"
"1177","1176","1.27"
"1178","1177","1.28"
"1179","1178","1.41"
"1180","1179","1.45"
"1181","1180","1.16"
"1182","1181","1.28"
"1183","1182","1.29"
"1184","1183","1.24"
"1185","1184","1.3"
"1186","1185","1.48"
"1187","1186","1.16"
"1188","1187","1.26"
"1189","1188","1.35"
"1190","1189","1.35"
"1191","1190","1.3"
"1192","1191","1.47"
"1193","1192","1.4"
"1194","1193","1.17"
"1195","1194","1.42"
"1196","1195","1.38"
"1197","1196","1.11"
"1198","1197","1.27"
"1199","1198","1.27"
"1200","1199","1.26"
"1201","1200","1.37"
"1202","1201","1.24"
"1203","1202","1.12"
"1204","1203","1.27"
"1205","1204","1.33"
"1206","1205","1.39"
"1207","1206","1.4"
"1208","1207","1.25"
"1209","1208","1.27"
"1210","1209","1.35"
"1211","1210","1.12"
"1212","1211","1.3"
"1213","1212","1.23"
"1214","1213","1.05"
"1215","1214","1.45"
"1216","1215","1.38"
"1217","1216","1.11"
"1218","1217","1.48"
"1219","1218","1.26"
"1220","1219","1.19"
"1221","1220","1.2"
"1222","1221","1.21"
"1223","1222","1.35"
"1224","1223","1.3"
"1225","1224","1.25"
"1226","1225","1.29"
"1227","1226","1.22"
"1228","1227","1.32"
"1229","1228","1.24"
"1230","1229","1.26"
"1231","1230","1.44"
"1232","1231","1.21"
"1233","1232","1.4"
"1234","1233","1.29"
"1235","1234","1.37"
"1236","1235","0.96"
"1237","1236","1.26"
"1238","1237","1.28"
"1239","1238","1.4"
"1240","1239","1.2"
"1241","1240","1.38"
"1242","1241","1.49"
"1243","1242","1.24"
"1244","1243","1.35"
"1245","1244","1.35"
"1246","1245","1.31"
"1247","1246","1.34"
"1248","1247","1.32"
"1249","1248","1.26"
"1250","1249","1.29"
"1251","1250","1.4"
"1252","1251","1.32"
"1253","1252","1.29"
"1254","1253","1.12"
"1255","1254","1.27"
"1256","1255","1.23"
"1257","1256","1.25"
"1258","1257","1.24"
"1259","1258","1.11"
"1260","1259","1.31"
"1261","1260","1.19"
"1262","1261","1.35"
"1263","1262","1.49"
"1264","1263","1.37"
"1265","1264","1.26"
"1266","1265","1.23"
"1267","1266","1.53"
"1268","1267","1.36"
"1269","1268","1.31"
"1270","1269","1.35"
"1271","1270","1.41"
"1272","1271","1.43"
"1273","1272","1.18"
"1274","1273","1.2"
"1275","1274","1.3"
"1276","1275","1.23"
"1277","1276","1.41"
"1278","1277","1.33"
"1279","1278","1.22"
"1280","1279","1.4"
"1281","1280","1.37"
"1282","1281","1.27"
"1283","1282","1.23"
"1284","1283","1.28"
"1285","1284","1.37"
"1286","1285","1.43"
"1287","1286","1.19"
"1288","1287","1.24"
"1289","1288","1.37"
"1290","1289","1.21"
"1291","1290","1.35"
"1292","1291","1.43"
"1293","1292","1.5"
"1294","1293","1.4"
"1295","1294","1.29"
"1296","1295","1.43"
"1297","1296","1.38"
"1298","1297","1.35"
"1299","1298","1.19"
"1300","1299","1.33"
"1301","1300","1.49"
"1302","1301","1.27"
"1303","1302","1.43"
"1304","1303","1.4"
"1305","1304","1.24"
"1306","1305","1.23"
"1307","1306","1.3"
"1308","1307","1.35"
"1309","1308","1.19"
"1310","1309","1.15"
"1311","1310","1.43"
"1312","1311","1.19"
